"line_item_id","order_id","product_name","category","quantity","unit_price","discount_pct","total_amount"
"85","22","Stainless Steel Rod 1in 6ft","Raw Materials","22","85.81","0","1887.82"
"86","22","Filing Cabinet 4-Drawer","Office Supplies","8","173.03","20","1107.39"
"87","22","Aluminum Sheet 4x8 0.125in","Raw Materials","37","191.9","15","6035.26"
"88","23","Industrial Filter Cartridge","Industrial","20","42.03","0","840.6"
"89","23","Cable Harness Kit","Electronics","49","46.47","5","2163.18"
"90","24","Bubble Wrap Roll 250ft","Packaging","50","33.67","10","1515.15"
"91","24","ABS Plastic Pellets 50lb","Raw Materials","38","91.3","5","3295.93"
"92","24","Corrugated Box 24x18x12 50pk","Packaging","40","81.87","15","2783.58"
"93","24","Safety Relay Module","Industrial","14","159.97","0","2239.58"
"94","24","Conveyor Belt Segment 10ft","Industrial","12","384.31","10","4150.55"
"95","24","LCD Display Panel 15in","Electronics","29","202.48","15","4991.13"
"96","24","Thermal Printer Paper 6pk","Office Supplies","15","26.02","0","390.3"
"97","25","Aluminum Sheet 4x8 0.125in","Raw Materials","44","200.68","0","8829.92"
"98","25","Poly Mailer Bags 100pk","Packaging","13","27.68","5","341.85"
"99","25","Safety Relay Module","Industrial","10","165.13","0","1651.3"
"100","25","Industrial Sensor Module","Electronics","11","139.42","20","1226.9"
"101","25","Pallet Stretch Wrap 4pk","Packaging","29","61.61","0","1786.69"
"102","25","Label Maker Pro","Office Supplies","26","64.51","0","1677.26"
"103","26","Aluminum Sheet 4x8 0.125in","Raw Materials","39","199.41","0","7776.99"
"104","26","Whiteboard 48x36","Office Supplies","17","72.54","0","1233.18"
"105","26","Foam Insert Custom Cut","Packaging","2","16.03","20","25.65"
"106","26","Whiteboard 48x36","Office Supplies","3","83.05","20","199.32"
"107","27","Poly Mailer Bags 100pk","Packaging","29","28.08","0","814.32"
"108","27","Custom Branded Tape 36 rolls","Packaging","41","48.67","20","1596.38"
"109","27","LCD Display Panel 15in","Electronics","23","192.12","5","4197.82"
"110","27","Control Board Assembly","Electronics","22","300.71","5","6284.84"
"111","28","Nylon Fastener Assortment","Raw Materials","3","38.54","5","109.84"
"112","28","Standing Desk Converter","Office Supplies","8","293.27","20","1876.93"
"113","28","Corrugated Box 24x18x12 50pk","Packaging","43","89.76","20","3087.74"
"114","29","Control Board Assembly","Electronics","34","296.6","0","10084.4"
"115","29","Silicone Gasket Material","Raw Materials","29","51.66","20","1198.51"
"116","29","Whiteboard 48x36","Office Supplies","9","78.02","0","702.18"
"117","29","Aluminum Sheet 4x8 0.125in","Raw Materials","2","189.03","15","321.35"
"118","30","Steel Mounting Bracket Set","Industrial","36","68.21","0","2455.56"
"119","30","Control Board Assembly","Electronics","8","315.38","5","2396.89"
"120","31","Pneumatic Valve Assembly","Industrial","46","195.35","0","8986.1"
"121","31","Filing Cabinet 4-Drawer","Office Supplies","31","179.79","5","5294.82"
"122","31","Bubble Wrap Roll 250ft","Packaging","25","37.41","0","935.25"
"123","31","Poly Mailer Bags 100pk","Packaging","9","27.41","20","197.35"
"124","31","ABS Plastic Pellets 50lb","Raw Materials","33","101.09","0","3335.97"
"125","31","Label Maker Pro","Office Supplies","20","65.62","20","1049.92"
"126","32","Copper Wire Spool 500ft","Raw Materials","29","311.02","10","8117.62"
"127","32","Whiteboard 48x36","Office Supplies","49","77.06","10","3398.35"
"128","32","Ergonomic Chair Model X","Office Supplies","45","455.45","0","20495.25"
"129","32","Pneumatic Valve Assembly","Industrial","3","204.54","0","613.62"
"130","32","Stainless Steel Rod 1in 6ft","Raw Materials","43","83.54","20","2873.78"
"131","32","Pneumatic Valve Assembly","Industrial","3","195.09","0","585.27"
"132","33","Thermal Printer Paper 6pk","Office Supplies","29","25.12","0","728.48"
"133","33","Aluminum Sheet 4x8 0.125in","Raw Materials","47","181.67","0","8538.49"
"134","33","Hydraulic Pump HP-200","Industrial","31","957.11","20","23736.33"
"135","33","Whiteboard 48x36","Office Supplies","45","81.37","5","3478.57"
"136","33","Label Maker Pro","Office Supplies","35","70.36","5","2339.47"
"137","34","Nylon Fastener Assortment","Raw Materials","3","38.37","10","103.6"
"138","34","Ergonomic Chair Model X","Office Supplies","48","443.07","0","21267.36"
"139","34","Servo Motor Assembly","Electronics","46","299.03","20","11004.3"
"140","34","Safety Relay Module","Industrial","20","140.93","0","2818.6"
"141","34","Power Supply Unit 500W","Electronics","23","110.45","0","2540.35"
"142","34","Industrial Filter Cartridge","Industrial","27","39.64","10","963.25"
"143","35","Conveyor Belt Segment 10ft","Industrial","6","451.15","10","2436.21"
"144","35","Poly Mailer Bags 100pk","Packaging","16","32.47","5","493.54"
"145","36","Pneumatic Valve Assembly","Industrial","41","193.42","0","7930.22"
"146","36","LCD Display Panel 15in","Electronics","19","200.6","15","3239.69"
"147","37","ABS Plastic Pellets 50lb","Raw Materials","38","97.64","0","3710.32"
"148","38","Filing Cabinet 4-Drawer","Office Supplies","20","208.43","0","4168.6"
"149","38","Aluminum Sheet 4x8 0.125in","Raw Materials","16","187.66","5","2852.43"
"150","38","Pallet Stretch Wrap 4pk","Packaging","45","56.07","0","2523.15"
"151","38","ABS Plastic Pellets 50lb","Raw Materials","1","101.94","10","91.75"
"152","39","Cable Harness Kit","Electronics","48","48.53","5","2212.97"
"153","39","Ergonomic Chair Model X","Office Supplies","39","435.74","20","13595.09"
"154","39","Industrial Filter Cartridge","Industrial","17","40.21","15","581.03"
"155","39","Safety Relay Module","Industrial","7","159.54","15","949.26"
"156","39","Filing Cabinet 4-Drawer","Office Supplies","3","184.38","10","497.83"
"157","39","Hydraulic Pump HP-200","Industrial","19","918.31","0","17447.89"
"158","39","Conveyor Belt Segment 10ft","Industrial","9","423.31","20","3047.83"
"159","40","Foam Insert Custom Cut","Packaging","18","14.46","20","208.22"
"160","40","ABS Plastic Pellets 50lb","Raw Materials","48","91.94","20","3530.5"
"161","40","LCD Display Panel 15in","Electronics","5","208.85","0","1044.25"
"162","41","Nylon Fastener Assortment","Raw Materials","24","44.44","0","1066.56"
"163","41","Power Supply Unit 500W","Electronics","35","110.99","0","3884.65"
"164","42","Whiteboard 48x36","Office Supplies","25","81.19","20","1623.8"
"165","42","Thermal Printer Paper 6pk","Office Supplies","44","24.85","0","1093.4"
"166","42","Foam Insert Custom Cut","Packaging","21","14.64","10","276.7"
"167","42","Servo Motor Assembly","Electronics","30","312.14","15","7959.57"
"168","42","Aluminum Sheet 4x8 0.125in","Raw Materials","9","201.51","0","1813.59"
"169","42","Filing Cabinet 4-Drawer","Office Supplies","8","179.45","0","1435.6"
"170","43","Pneumatic Valve Assembly","Industrial","30","201.65","0","6049.5"
"171","43","Custom Branded Tape 36 rolls","Packaging","38","50.96","15","1646.01"
"172","43","Silicone Gasket Material","Raw Materials","7","56.63","20","317.13"
"173","43","ABS Plastic Pellets 50lb","Raw Materials","3","92.54","15","235.98"
"174","43","Stainless Steel Rod 1in 6ft","Raw Materials","16","76.34","20","977.15"
"175","44","Whiteboard 48x36","Office Supplies","42","72.06","0","3026.52"
"176","44","Ergonomic Chair Model X","Office Supplies","8","478.11","20","3059.9"
"177","44","Servo Motor Assembly","Electronics","14","334.07","15","3975.43"
"178","44","Industrial Sensor Module","Electronics","22","159.18","0","3501.96"
"179","44","Bubble Wrap Roll 250ft","Packaging","5","36.33","20","145.32"
"180","44","Industrial Filter Cartridge","Industrial","14","41.08","20","460.1"
"181","45","Industrial Filter Cartridge","Industrial","1","40.99","0","40.99"
"182","45","Conveyor Belt Segment 10ft","Industrial","35","445.08","0","15577.8"
"183","45","Servo Motor Assembly","Electronics","2","293.47","0","586.94"
"184","46","Industrial Filter Cartridge","Industrial","21","35.76","0","750.96"
"185","46","Control Board Assembly","Electronics","48","291.01","5","13270.06"
"186","46","LCD Display Panel 15in","Electronics","29","193.27","20","4483.86"
"187","46","Corrugated Box 24x18x12 50pk","Packaging","29","84.04","10","2193.44"
"188","46","Corrugated Box 24x18x12 50pk","Packaging","47","96.28","20","3620.13"
"189","46","Pallet Stretch Wrap 4pk","Packaging","30","67.75","15","1727.62"
"190","46","LCD Display Panel 15in","Electronics","26","206.15","5","5091.91"
"191","47","Aluminum Sheet 4x8 0.125in","Raw Materials","6","189.01","0","1134.06"
"192","47","Control Board Assembly","Electronics","18","297.21","10","4814.8"
"193","47","Poly Mailer Bags 100pk","Packaging","21","32.96","5","657.55"
"194","47","Pallet Stretch Wrap 4pk","Packaging","30","63.31","10","1709.37"
"195","48","Servo Motor Assembly","Electronics","42","328.34","20","11032.22"
"196","49","Pneumatic Valve Assembly","Industrial","29","191.64","0","5557.56"
"197","49","Stainless Steel Rod 1in 6ft","Raw Materials","27","72.14","15","1655.61"
"198","49","ABS Plastic Pellets 50lb","Raw Materials","43","92.61","0","3982.23"
"199","49","Safety Relay Module","Industrial","31","142.33","0","4412.23"
"200","49","Industrial Sensor Module","Electronics","28","152.09","0","4258.52"
"201","49","Ergonomic Chair Model X","Office Supplies","36","456.76","0","16443.36"
"202","49","Foam Insert Custom Cut","Packaging","22","14.33","15","267.97"
"203","50","Silicone Gasket Material","Raw Materials","4","57.89","0","231.56"
"204","50","Thermal Printer Paper 6pk","Office Supplies","37","23.55","10","784.22"
"205","50","Copper Wire Spool 500ft","Raw Materials","7","333.55","0","2334.85"
